标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
沿海赛洛城二期东南两居室，满五唯一，户型好，楼层好,沿海赛洛城二期 -百子湾,2室1厅 | 90.61平米 | 东南 | 精装 | 6层 | 2007年建 | 板楼,2室1厅 , 90.61平米 , 东南 , 精装 , 6层 , 2007年建 , 板楼,3人关注 / 16天以前发布,660,"72,840元/平"
鲁谷路74号院 小区中间，有钥匙 215万,鲁谷路74号院 -鲁谷,1室1厅 | 36.17平米 | 南 | 精装 | 6层 | 1976年建 | 板楼,1室1厅 , 36.17平米 , 南 , 精装 , 6层 , 1976年建 , 板楼,1人关注 / 3天以前发布,215,"59,442元/平"
满五唯一商品房，次顶层，视野开阔采光好,玉桥东里 -玉桥,1室1厅 | 51.87平米 | 南 | 简装 | 高楼层(共22层) | 2010年建 | 板楼,1室1厅 , 51.87平米 , 南 , 简装 , 高楼层(共22层) , 2010年建 , 板楼,4人关注 / 16天以前发布,239,"46,077元/平"
东景苑正规大两居，装修两年拎包入住，看花园不临街,东景苑 -华威桥,2室1厅 | 101.74平米 | 西 | 精装 | 低楼层(共22层) | 2001年建 | 塔楼,2室1厅 , 101.74平米 , 西 , 精装 , 低楼层(共22层) , 2001年建 , 塔楼,1人关注 / 15天以前发布,628.8,"61,805元/平"
水色时光五区  卫生间带窗 满五年一套住房 装修好,水色时光五区 -顺义其它,2室1厅 | 100.98平米 | 南 北 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,2室1厅 , 100.98平米 , 南 北 , 精装 , 中楼层(共11层) , 2009年建 , 板楼,6人关注 / 15天以前发布,220,"21,787元/平"
和平街十二区化工部南院高层带电梯南北向三居室,和平街十二区 -和平里,3室1厅 | 91.41平米 | 东 南 | 简装 | 高楼层(共14层) | 1998年建 | 板楼,3室1厅 , 91.41平米 , 东 南 , 简装 , 高楼层(共14层) , 1998年建 , 板楼,2人关注 / 11天以前发布,852,"93,207元/平"
水色时光五区  卫生间带窗 满五年一套住房 装修好,水色时光五区 -顺义其它,2室1厅 | 100.98平米 | 南 北 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,2室1厅 , 100.98平米 , 南 北 , 精装 , 中楼层(共11层) , 2009年建 , 板楼,6人关注 / 15天以前发布,220,"21,787元/平"
康庄路52号院 2室1厅 南,康庄路52号院 -枣园,2室1厅 | 87.72平米 | 南 | 精装 | 中楼层(共18层) | 2010年建 | 板楼,2室1厅 , 87.72平米 , 南 , 精装 , 中楼层(共18层) , 2010年建 , 板楼,3人关注 / 15天以前发布,340,"38,760元/平"
商品房，满五年唯一，精装修，看房方便，随时签约,名佳花园三区 -北七家,1室1厅 | 65.18平米 | 南 | 精装 | 6层 | 2005年建 | 板楼,1室1厅 , 65.18平米 , 南 , 精装 , 6层 , 2005年建 , 板楼,16人关注 / 15天以前发布,282,"43,265元/平"
满五唯一商品房，次顶层，视野开阔采光好,玉桥东里 -玉桥,1室1厅 | 51.87平米 | 南 | 简装 | 高楼层(共22层) | 2010年建 | 板楼,1室1厅 , 51.87平米 , 南 , 简装 , 高楼层(共22层) , 2010年建 , 板楼,4人关注 / 16天以前发布,239,"46,077元/平"
满五唯一，纯南向，高楼层，采光和视野都不错。,恒盛波尔多小镇北区 -大兴新机场洋房别墅区,2室1厅 | 88.77平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,2室1厅 , 88.77平米 , 南 , 精装 , 中楼层(共8层)  ,不详, 板楼,3人关注 / 10天以前发布,205,"23,094元/平"
阿尔法社区二期  商品房2010年小区  不临街  中间层,阿尔法社区二期 -九棵树(家乐福),2室1厅 | 79.28平米 | 东南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,2室1厅 , 79.28平米 , 东南 , 精装 , 中楼层(共6层) , 2010年建 , 板楼,3人关注 / 9天以前发布,315,"39,733元/平"
双桥六号井 南北两居 有钥匙 看房方便,双桥六号井 -双桥,2室1厅 | 55.24平米 | 南 北 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,2室1厅 , 55.24平米 , 南 北 , 简装 , 中楼层(共6层) , 1989年建 , 板楼,13人关注 / 12天以前发布,219,"39,646元/平"
义和庄东里 2室1厅 南 北,义和庄东里 -黄村火车站,2室1厅 | 81.31平米 | 南 北 | 简装 | 底层(共6层) | 1998年建 | 板楼,2室1厅 , 81.31平米 , 南 北 , 简装 , 底层(共6层) , 1998年建 , 板楼,2人关注 / 13天以前发布,243,"29,886元/平"
东南向两居室 中间楼层  无遮挡 采光足,翠成馨园E区 -垡头,2室1厅 | 91.21平米 | 东南 | 简装 | 28层 | 2009年建 | 塔楼,2室1厅 , 91.21平米 , 东南 , 简装 , 28层 , 2009年建 , 塔楼,7人关注 / 11天以前发布,460,"50,434元/平"
首体宿舍 南北通透中间层 采光通风好 看房随时,首体宿舍 -紫竹桥,2室1厅 | 58平米 | 南 北 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,2室1厅 , 58平米 , 南 北 , 简装 , 中楼层(共6层) , 1988年建 , 板楼,5人关注 / 15天以前发布,573,"98,794元/平"
鲁谷路74号院 小区中间，有钥匙 215万,鲁谷路74号院 -鲁谷,1室1厅 | 36.17平米 | 南 | 精装 | 6层 | 1976年建 | 板楼,1室1厅 , 36.17平米 , 南 , 精装 , 6层 , 1976年建 , 板楼,1人关注 / 3天以前发布,215,"59,442元/平"
沿海赛洛城二期东南两居室，满五唯一，户型好，楼层好,沿海赛洛城二期 -百子湾,2室1厅 | 90.61平米 | 东南 | 精装 | 6层 | 2007年建 | 板楼,2室1厅 , 90.61平米 , 东南 , 精装 , 6层 , 2007年建 , 板楼,3人关注 / 16天以前发布,660,"72,840元/平"
智学苑 3室2厅 西 南,智学苑 -西二旗,3室2厅 | 128.21平米 | 西 南 | 其他 | 中楼层(共24层)  | 塔楼,3室2厅 , 128.21平米 , 西 南 , 其他 , 中楼层(共24层)  ,不详, 塔楼,5人关注 / 10天以前发布,808,"63,022元/平"
首邑溪谷 2室1厅 南 北,首邑溪谷 -枣园,2室1厅 | 46.84平米 | 南 北 | 简装 | 中楼层(共16层)  | 板塔结合,2室1厅 , 46.84平米 , 南 北 , 简装 , 中楼层(共16层)  ,不详, 板塔结合,1人关注 / 16天以前发布,299,"63,835元/平"
满五唯一商品房  全南正规2居室  采光视野好,通惠家园 -四惠,2室1厅 | 75.67平米 | 南 | 简装 | 28层 | 2001年建 | 塔楼,2室1厅 , 75.67平米 , 南 , 简装 , 28层 , 2001年建 , 塔楼,6人关注 / 16天以前发布,509,"67,266元/平"
朝丰家园全南向两居室，采光充足。满五年,朝丰家园 -豆各庄,2室1厅 | 78.65平米 | 南 | 简装 | 中楼层(共12层)  | 塔楼,2室1厅 , 78.65平米 , 南 , 简装 , 中楼层(共12层)  ,不详, 塔楼,7人关注 / 13天以前发布,330,"41,959元/平"
新桥南大街 南向两居室诚意出售,新桥南大街 -滨河西区,2室1厅 | 55.45平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,2室1厅 , 55.45平米 , 南 , 简装 , 高楼层(共6层) , 1988年建 , 板楼,4人关注 / 13天以前发布,172,"31,019元/平"
益丰园  北边是公园 南北通透 小两居 诚心出售,益丰园 -万源,2室1厅 | 58.66平米 | 南 北 | 精装 | 顶层(共6层)  | 板楼,2室1厅 , 58.66平米 , 南 北 , 精装 , 顶层(共6层)  ,不详, 板楼,1人关注 / 11天以前发布,246,"41,937元/平"
东直门内大街 1室1厅 南,东直门内大街 -东直门,1室1厅 | 60.01平米 | 南 | 其他 | 低楼层(共14层)  | 板塔结合,1室1厅 , 60.01平米 , 南 , 其他 , 低楼层(共14层)  ,不详, 板塔结合,1人关注 / 3天以前发布,715,"119,147元/平"
西直门地铁2000年电梯大客厅东南两居双阳台满五年唯一,德胜门西大街甲5号 -小西天,2室1厅 | 78.1平米 | 东南 南 | 简装 | 低楼层(共12层) | 1998年建 | 塔楼,2室1厅 , 78.1平米 , 东南 南 , 简装 , 低楼层(共12层) , 1998年建 , 塔楼,34人关注 / 15天以前发布,758,"97,056元/平"
彩虹新城 南北通透 两居室 中楼层,彩虹新城 -枣园,2室1厅 | 87.18平米 | 南 北 | 简装 | 中楼层(共11层) | 2008年建 | 板楼,2室1厅 , 87.18平米 , 南 北 , 简装 , 中楼层(共11层) , 2008年建 , 板楼,10人关注 / 13天以前发布,469,"53,797元/平"
优质三居！满五年唯一 不临街 接受换房 居住舒适,芍药居北里 -芍药居,3室1厅 | 93.08平米 | 东 南 | 精装 | 低楼层(共24层)  | 塔楼,3室1厅 , 93.08平米 , 东 南 , 精装 , 低楼层(共24层)  ,不详, 塔楼,12人关注 / 9天以前发布,760,"81,651元/平"
精装修 近龙泽 满五唯一  拎包入住，明厨明卫,新龙城 -回龙观,2室1厅 | 102.3平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,2室1厅 , 102.3平米 , 南 北 , 精装 , 低楼层(共20层)  ,不详, 板楼,9人关注 / 9天以前发布,565,"55,230元/平"
现代城3号楼 高层看西山，看国贸 视野开阔 卫生间带窗,现代城 -CBD,2室2厅 | 109.51平米 | 西 | 精装 | 高楼层(共28层)  | 塔楼,2室2厅 , 109.51平米 , 西 , 精装 , 高楼层(共28层)  ,不详, 塔楼,0人关注 / 9天以前发布,820,"74,880元/平"
慧华苑 中间层 南北通透 满五年唯一,慧华苑 -回龙观,2室1厅 | 76.94平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2室1厅 , 76.94平米 , 南 北 , 简装 , 中楼层(共7层)  ,不详, 板楼,6人关注 / 15天以前发布,380,"49,390元/平"
京投发展公园悦府二区 楼层好 首套首付底,京投发展公园悦府二区 -回龙观,2室2厅 | 86.98平米 | 西南 | 精装 | 高楼层(共27层)  | 板塔结合,2室2厅 , 86.98平米 , 西南 , 精装 , 高楼层(共27层)  ,不详, 板塔结合,3人关注 / 10天以前发布,709,"81,513元/平"
东北二环外左家庄北里  南北通透 采光充足 经典两居室,左家庄北里 -国展,2室1厅 | 57.22平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2室1厅 , 57.22平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,6人关注 / 11天以前发布,377,"65,887元/平"
此房满五年唯一住房，南北通透，一梯两户，视野好,中南湾 -旧宫,2室1厅 | 99.68平米 | 南 北 | 精装 | 高楼层(共15层) | 2011年建 | 板楼,2室1厅 , 99.68平米 , 南 北 , 精装 , 高楼层(共15层) , 2011年建 , 板楼,1人关注 / 9天以前发布,535,"53,672元/平"
京民社区一层南北朝向，看房方便,华严北里2号院 -健翔桥,2室1厅 | 53.75平米 | 南 北 | 毛坯 | 底层(共5层) | 1981年建 | 板楼,2室1厅 , 53.75平米 , 南 北 , 毛坯 , 底层(共5层) , 1981年建 , 板楼,5人关注 / 15天以前发布,499,"92,838元/平"
