标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
玖熙苑，中间楼层，采光无遮挡，南北通透，改善型三室,世茂玖熙 -中新生态城,3室1厅 | 99.23平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3室1厅 , 99.23平米 , 南 北 , 精装 , 中楼层(共18层)  ,不详, 板楼,30人关注 / 4个月以前发布,167,"16,830元/平"
中保楼三室户型 适合四代人居住 格局宽敞 户型明亮,中保住宅楼 -南三路,3室2厅 | 131.71平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3室2厅 , 131.71平米 , 南 北 , 简装 , 低楼层(共6层)  ,不详, 板楼,3人关注 / 1个月以前发布,75,"5,695元/平"
保利南区 武清政府 武清广播电视局旁 业主诚意卖,保利上河雅苑南区 -保利金街,2室2厅 | 92.76平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2室2厅 , 92.76平米 , 南 , 精装 , 中楼层(共27层)  ,不详, 板塔结合,2人关注 / 2个月以前发布,140,"15,093元/平"
园荫里  近地铁 全南户型 满五唯一 配套成熟,园荫里 -王顶堤,2室1厅 | 55平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,2室1厅 , 55平米 , 南 , 精装 , 高楼层(共7层)  ,不详, 板楼,127人关注 / 一年前发布,103,"18,728元/平"
首创香堤苑，地铁6号线旁，精装修通透三室,香堤苑 -双港,3室1厅 | 99.88平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3室1厅 , 99.88平米 , 南 北 , 精装 , 低楼层(共7层)  ,不详, 板楼,83人关注 / 10个月以前发布,199,"19,924元/平"
海河畔标志性建筑 高品位社区！ 进驻后体验舒适环境！,海河大观 -下瓦房,2室2厅 | 137.99平米 | 东 | 精装 | 低楼层(共18层)  | 板楼,2室2厅 , 137.99平米 , 东 , 精装 , 低楼层(共18层)  ,不详, 板楼,169人关注 / 一年前发布,385,"27,901元/平"
房龄新 一楼 采光好 交通便利 配套成熟，看房随时,金环里 -王顶堤,2室1厅 | 57.45平米 | 东 | 精装 | 低楼层(共6层)  | 板楼,2室1厅 , 57.45平米 , 东 , 精装 , 低楼层(共6层)  ,不详, 板楼,58人关注 / 9个月以前发布,131.5,"22,890元/平"
滨海新区大港 福华里 改善型住房 阁楼70平米 不算面积,福华里（滨海新区） -大港,3室2厅 | 131.59平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,3室2厅 , 131.59平米 , 南 , 精装 , 高楼层(共5层)  ,不详, 板塔结合,19人关注 / 一年前发布,115,"8,740元/平"
带带电梯的三室 文科推荐 西南角,永基花园 -广开街,3室1厅 | 108.24平米 | 东北 | 精装 | 高楼层(共30层)  | 板塔结合,3室1厅 , 108.24平米 , 东北 , 精装 , 高楼层(共30层)  ,不详, 板塔结合,43人关注 / 6个月以前发布,240,"22,173元/平"
联发品质 洋房通透三居室  带车位  看房方便,联发欣悦学府 -北塘街,3室2厅 | 107.34平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,3室2厅 , 107.34平米 , 南 北 , 毛坯 , 低楼层(共11层)  ,不详, 板楼,19人关注 / 一年前发布,129,"12,018元/平"
过五年精装修 目前业主自住，位置好 价格可谈,海山北里 -万新街,2室1厅 | 89平米 | 北 南 | 精装 | 高楼层(共11层)  | 板楼,2室1厅 , 89平米 , 北 南 , 精装 , 高楼层(共11层)  ,不详, 板楼,6人关注 / 1个月以前发布,141,"15,843元/平"
双发温泉花园 南向 带阁楼 中间楼层 视野宽阔 满五,双发温泉花园 -果园新村,2室1厅 | 122.94平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2室1厅 , 122.94平米 , 南 北 , 简装 , 中楼层(共7层)  ,不详, 板楼,13人关注 / 一年前发布,152,"12,364元/平"
静湖南区3居室2厅，简装，无尾款，业主诚心出售,静湖花园南区 -静湖,3室2厅 | 100.42平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3室2厅 , 100.42平米 , 南 北 , 简装 , 中楼层(共5层)  ,不详, 板楼,33人关注 / 一年前发布,81,"8,067元/平"
明厅大三居 前面采光无限好 双阳台 随时看房,先春园世春里 -芥园道,3室2厅 | 113.19平米 | 东 南 北 | 简装 | 高楼层(共6层)  | 板楼,3室2厅 , 113.19平米 , 东 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,4人关注 / 2个月以前发布,236,"20,850元/平"
房龄新，电梯房，采光充足，业主急售,锋泛国际 -王顶堤,2室1厅 | 91.53平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,2室1厅 , 91.53平米 , 南 , 精装 , 低楼层(共18层)  ,不详, 塔楼,138人关注 / 一年前发布,208,"22,725元/平"
远洋洋房一楼前后院，精装修全新未住，位置佳采光充足,远洋新干线 -空港经济区,4室2厅 | 149.23平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4室2厅 , 149.23平米 , 南 北 , 精装 , 低楼层(共6层)  ,不详, 板楼,7人关注 / 5个月以前发布,335,"22,449元/平"
此房老证 三室双卫 视野宽阔 电梯房 京津公路旁,天和林溪雅园 -静湖,3室2厅 | 97.38平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,3室2厅 , 97.38平米 , 南 北 , 精装 , 高楼层(共16层)  ,不详, 板塔结合,4人关注 / 2个月以前发布,88,"9,037元/平"
灵秀丽苑电梯洋房3楼大三室急售,灵秀丽苑 -翡翠湾,3室2厅 | 134.99平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,3室2厅 , 134.99平米 , 南 北 , 精装 , 中楼层(共7层)  ,不详, 塔楼,11人关注 / 6个月以前发布,82,"6,075元/平"
此房满五年，无户口，无尾款，诚意出售,岳园小区 -建设路,2室2厅 | 88.33平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2室2厅 , 88.33平米 , 南 , 简装 , 中楼层(共6层)  ,不详, 板楼,3人关注 / 8个月以前发布,66,"7,472元/平"
满五唯一 通透全明户型 看房有钥匙价格可以商量,荣翠园 -北仓镇,2室1厅 | 83平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,2室1厅 , 83平米 , 南 , 毛坯 , 低楼层(共23层)  ,不详, 板楼,0人关注 / 4个月以前发布,78,"9,398元/平"
阳面，采光好，无遮挡，视野宽阔，精装修,观云里 -南营门街,3室1厅 | 96.18平米 | 东南 | 精装 | 高楼层(共24层)  | 板楼,3室1厅 , 96.18平米 , 东南 , 精装 , 高楼层(共24层)  ,不详, 板楼,29人关注 / 9个月以前发布,458,"47,620元/平"
富力大开发商，自己物业，环境优美，绿化多,天津富力新城 -团泊东,3室1厅 | 108.62平米 | 南 | 精装 | 中楼层(共21层)  | 板楼,3室1厅 , 108.62平米 , 南 , 精装 , 中楼层(共21层)  ,不详, 板楼,20人关注 / 6个月以前发布,59,"5,432元/平"
{好房推荐} 急售 英华旁 盛世郦园 精装两室 满五唯一,盛世郦园 -保利金街,2室1厅 | 94.28平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2室1厅 , 94.28平米 , 南 , 精装 , 高楼层(共22层)  ,不详, 板楼,4人关注 / 1个月以前发布,149,"15,804元/平"
精装修 中间楼层，房子诚意出售,宝龙城 -中新生态城,2室2厅 | 80.67平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,2室2厅 , 80.67平米 , 南 , 精装 , 中楼层(共18层)  ,不详, 板塔结合,59人关注 / 一年前发布,95,"11,777元/平"
精装洋房，户型方正，采光好视野好，诚意出售,中海金湖湾 -工农村,3室1厅 | 93.54平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,3室1厅 , 93.54平米 , 南 , 精装 , 低楼层(共11层)  ,不详, 板塔结合,0人关注 / 1个月以前发布,153,"16,357元/平"
四季馨园南北三室 私产过五年 三条地铁线 交通便利,四季馨园 -陈塘庄,3室1厅 | 113.38平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3室1厅 , 113.38平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,29人关注 / 2个月以前发布,307,"27,078元/平"
急售-徽派建筑-品质社区-一梯两户-低总价-看房方便,绿城桃李春风 -团泊东,3室2厅 | 101.78平米 | 南 | 毛坯 | 低楼层(共9层)  | 板楼,3室2厅 , 101.78平米 , 南 , 毛坯 , 低楼层(共9层)  ,不详, 板楼,3人关注 / 2个月以前发布,80,"7,861元/平"
